chem_code	from	bigslice_class	bigslice_subclass
nrps	as4	NRP	generic
acyl_amino_acids	as4	Other	acyl_amino_acids
aminocoumarin	as4	Other	aminocoumarin
arylpolyene	as4	Other	arylpolyene
blactam	as4	Other	blactam
butyrolactone	as4	Other	butyrolactone
cf_fatty_acid	as4	Other	fatty_acid
ectoine	as4	Other	ectoine
furan	as4	Other	furan
fused	as4	Other	fused
hserlactone	as4	Other	hserlactone
indole	as4	Other	indole
ladderane	as4	Other	ladderane
melanin	as4	Other	melanin
nucleoside	as4	Other	nucleoside
other	as4	Other	other
pbde	as4	Other	PBDE
phenazine	as4	Other	phenazine
phosphoglycolipid	as4	Other	phosphoglycolipid
phosphonate	as4	Other	phosphonate
PUFA	as4	Other	PUFA
resorcinol	as4	Other	resorcinol
siderophore	as4	Other	siderophore
otherks	as4	Polyketide	other
ppysks	as4	Polyketide	PpyS-KS
t1pks	as4	Polyketide	T1PKS
t2pks	as4	Polyketide	T2PKS
t3pks	as4	Polyketide	T3PKS
transatpks	as4	Polyketide	transAT-PKS
bacteriocin	as4	RiPP	bacteriocin
bottromycin	as4	RiPP	bottromycin
cyanobactin	as4	RiPP	cyanobactin
glycocin	as4	RiPP	glycocin
head_to_tail	as4	RiPP	head_to_tail
lantipeptide	as4	RiPP	lanthipeptide
LAP	as4	RiPP	LAP
lassopeptide	as4	RiPP	lassopeptide
linaridin	as4	RiPP	linaridin
microcin	as4	RiPP	microcin
microviridin	as4	RiPP	microviridin
proteusin	as4	RiPP	proteusin
sactipeptide	as4	RiPP	sactipeptide
thiopeptide	as4	RiPP	thiopeptide
amglyccycl	as4	Saccharide	amglyccycl
cf_saccharide	as4	Saccharide	generic
oligosaccharide	as4	Saccharide	oligosaccharide
terpene	as4	Terpene	generic
CDPS	as5	NRP	CDPS
NRPS	as5	NRP	generic
NRPS-like	as5	NRP	NRPS-like
thioamide-NRP	as5	NRP	thioamide-NRP
acyl_amino_acids	as5	Other	acyl_amino_acids
aminocoumarin	as5	Other	aminocoumarin
arylpolyene	as5	Other	arylpolyene
betalactone	as5	Other	betalactone
blactam	as5	Other	blactam
butyrolactone	as5	Other	butyrolactone
ectoine	as5	Other	ectoine
fatty_acid	as5	Other	fatty_acid
furan	as5	Other	furan
fused	as5	Other	fused
halogenated	as5	Other	halogenated
hserlactone	as5	Other	hserlactone
indole	as5	Other	indole
ladderane	as5	Other	ladderane
melanin	as5	Other	melanin
NAGGN	as5	Other	NAGGN
nucleoside	as5	Other	nucleoside
other	as5	Other	other
PBDE	as5	Other	PBDE
phenazine	as5	Other	phenazine
phosphoglycolipid	as5	Other	phosphoglycolipid
phosphonate	as5	Other	phosphonate
PUFA	as5	Other	PUFA
resorcinol	as5	Other	resorcinol
siderophore	as5	Other	siderophore
tropodithietic-acid	as5	Other	tropodithietic-acid
hglE-KS	as5	Polyketide	hglE-KS
PKS-like	as5	Polyketide	PKS-like
PpyS-KS	as5	Polyketide	PpyS-KS
T1PKS	as5	Polyketide	T1PKS
T2PKS	as5	Polyketide	T2PKS
T3PKS	as5	Polyketide	T3PKS
transAT-PKS	as5	Polyketide	transAT-PKS
transAT-PKS-like	as5	Polyketide	transAT-PKS-like
bacteriocin	as5	RiPP	bacteriocin
bottromycin	as5	RiPP	bottromycin
cyanobactin	as5	RiPP	cyanobactin
fungal-RiPP	as5	RiPP	fungal-RiPP
glycocin	as5	RiPP	glycocin
head_to_tail	as5	RiPP	head_to_tail
lanthipeptide	as5	RiPP	lanthipeptide
LAP	as5	RiPP	LAP
lassopeptide	as5	RiPP	lassopeptide
linaridin	as5	RiPP	linaridin
lipolanthine	as5	RiPP	lipolanthine
microviridin	as5	RiPP	microviridin
proteusin	as5	RiPP	proteusin
RaS-RiPP	as5	RiPP	RaS-RiPP
sactipeptide	as5	RiPP	sactipeptide
TfuA-related	as5	RiPP	TfuA-related
thiopeptide	as5	RiPP	thiopeptide
amglyccycl	as5	Saccharide	amglyccycl
oligosaccharide	as5	Saccharide	oligosaccharide
saccharide	as5	Saccharide	generic
terpene	as5	Terpene	terpene
CDPS	as6	NRP	CDPS
NRPS	as6	NRP	generic
NRPS-like	as6	NRP	NRPS-like
thioamide-NRP	as6	NRP	thioamide-NRP
acyl_amino_acids	as6	Other	acyl_amino_acids
aminocoumarin	as6	Other	aminocoumarin
arylpolyene	as6	Other	arylpolyene
betalactone	as6	Other	betalactone
blactam	as6	Other	blactam
butyrolactone	as6	Other	butyrolactone
ectoine	as6	Other	ectoine
fatty_acid	as6	Other	fatty_acid
furan	as6	Other	furan
guanidinotides	as6	Other	guanidinotides
halogenated	as6	Other	halogenated
hserlactone	as6	Other	hserlactone
indole	as6	Other	indole
ladderane	as6	Other	ladderane
melanin	as6	Other	melanin
NAGGN	as6	Other	NAGGN
NAPAA	as6	Other	NAPAA
nucleoside	as6	Other	nucleoside
other	as6	Other	other
PBDE	as6	Other	PBDE
phenazine	as6	Other	phenazine
phosphoglycolipid	as6	Other	phosphoglycolipid
phosphonate	as6	Other	phosphonate
prodigiosin	as6	Other	prodigiosin
PUFA	as6	Other	PUFA
pyrrolidine	as6	Other	pyrrolidine
resorcinol	as6	Other	resorcinol
siderophore	as6	Other	siderophore
tropodithietic-acid	as6	Other	tropodithietic-acid
hglE-KS	as6	Polyketide	hglE-KS
PKS-like	as6	Polyketide	PKS-like
PpyS-KS	as6	Polyketide	PpyS-KS
T1PKS	as6	Polyketide	T1PKS
T2PKS	as6	Polyketide	T2PKS
T3PKS	as6	Polyketide	T3PKS
transAT-PKS	as6	Polyketide	transAT-PKS
transAT-PKS-like	as6	Polyketide	transAT-PKS-like
bottromycin	as6	RiPP	bottromycin
cyanobactin	as6	RiPP	cyanobactin
cyclic-lactone-autoinducer	as6	RiPP	cyclic-lactone-autoinducer
epipeptide	as6	RiPP	epipeptide
fungal-RiPP	as6	RiPP	fungal-RiPP
glycocin	as6	RiPP	glycocin
lanthipeptide-class-i	as6	RiPP	lanthipeptide
lanthipeptide-class-ii	as6	RiPP	lanthipeptide
lanthipeptide-class-iii	as6	RiPP	lanthipeptide
lanthipeptide-class-iv	as6	RiPP	lanthipeptide
lanthipeptide-class-v	as6	RiPP	lanthipeptide
LAP	as6	RiPP	LAP
lassopeptide	as6	RiPP	lassopeptide
linaridin	as6	RiPP	linaridin
lipolanthine	as6	RiPP	lipolanthine
microviridin	as6	RiPP	microviridin
proteusin	as6	RiPP	proteusin
ranthipeptide	as6	RiPP	ranthipeptide
RaS-RiPP	as6	RiPP	RaS-RiPP
redox-cofactor	as6	RiPP	redox-cofactor
RiPP-like	as6	RiPP	RiPP-like
RRE-containing	as6	RiPP	RRE-containing
sactipeptide	as6	RiPP	sactipeptide
spliceotide	as6	RiPP	spliceotide
thioamitides	as6	RiPP	thioamitides
thiopeptide	as6	RiPP	thiopeptide
amglyccycl	as6	Saccharide	amglyccycl
oligosaccharide	as6	Saccharide	oligosaccharide
saccharide	as6	Saccharide	generic
terpene	as6	Terpene	generic
CDPS	as7	NRP	CDPS
NRP-metallophore	as7	NRP	metallophore
NRPS	as7	NRP	generic
NRPS-like	as7	NRP	NRPS-like
thioamide-NRP	as7	NRP	thioamide-NRP
acyl_amino_acids	as7	Other	acyl_amino_acids
aminocoumarin	as7	Other	aminocoumarin
arylpolyene	as7	Other	arylpolyene
betalactone	as7	Other	betalactone
blactam	as7	Other	blactam
butyrolactone	as7	Other	butyrolactone
ectoine	as7	Other	ectoine
fatty_acid	as7	Other	fatty_acid
furan	as7	Other	furan
guanidinotides	as7	Other	guanidinotides
halogenated	as7	Other	halogenated
hserlactone	as7	Other	hserlactone
indole	as7	Other	indole
ladderane	as7	Other	ladderane
melanin	as7	Other	melanin
NAGGN	as7	Other	NAGGN
NAPAA	as7	Other	NAPAA
NI-siderophore	as7	Other	siderophore
nucleoside	as7	Other	nucleoside
opine-like-metallophore	as7	Other	opine-like-metallophore
other	as7	Other	other
PBDE	as7	Other	PBDE
phenazine	as7	Other	phenazine
phosphoglycolipid	as7	Other	phosphoglycolipid
phosphonate	as7	Other	phosphonate
phosphonate-like	as7	Other	phosphonate-like
prodigiosin	as7	Other	prodigiosin
PUFA	as7	Other	PUFA
pyrrolidine	as7	Other	pyrrolidine
resorcinol	as7	Other	resorcinol
tropodithietic-acid	as7	Other	tropodithietic-acid
hglE-KS	as7	Polyketide	hglE-KS
PKS-like	as7	Polyketide	PKS-like
PpyS-KS	as7	Polyketide	PpyS-KS
T1PKS	as7	Polyketide	T1PKS
T2PKS	as7	Polyketide	T2PKS
T3PKS	as7	Polyketide	T3PKS
transAT-PKS	as7	Polyketide	transAT-PKS
transAT-PKS-like	as7	Polyketide	transAT-PKS-like
bottromycin	as7	RiPP	bottromycin
cyanobactin	as7	RiPP	cyanobactin
cyclic-lactone-autoinducer	as7	RiPP	cyclic-lactone-autoinducer
epipeptide	as7	RiPP	epipeptide
fungal-RiPP	as7	RiPP	fungal-RiPP
fungal-RiPP-like	as7	RiPP	fungal-RiPP-like
glycocin	as7	RiPP	glycocin
lanthipeptide-class-i	as7	RiPP	lanthipeptide
lanthipeptide-class-ii	as7	RiPP	lanthipeptide
lanthipeptide-class-iii	as7	RiPP	lanthipeptide
lanthipeptide-class-iv	as7	RiPP	lanthipeptide
lanthipeptide-class-v	as7	RiPP	lanthipeptide
LAP	as7	RiPP	LAP
lassopeptide	as7	RiPP	lassopeptide
linaridin	as7	RiPP	linaridin
lipolanthine	as7	RiPP	lipolanthine
